comentario	usuario	ciudad	puntaje	fecha_viaje	link
Volar en el A380 y en Emirates pone muy difícil mejorar la sensación de que estás volando en el mejor avión y en la mejor compañía del mundo. No falta y no falla nada y dando por descartado la seguridad las atenciones y comodidades son inmejorables	txomin0	El Masnou, España	5	septiembre de 2016	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519471864-Emirates-World.html#REVIEWS
La primera vez que viajaba por esta aerolínea. Excelente servicio. Abundante comida para un vuelo corto. Puntualidad	Veronica M	Buenos Aires	5	agosto de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519471515-Emirates-World.html#REVIEWS
Viajamos de Buenos Aires a Rio porque la tarifa era muy conveniente y realmente me quede sorprendida con la atencion , el servicio .. una lastima que nuestro destino era Rio y no Dubai para seguir disfrutando de volar en una aerolinea de primera clase .	andreaf924	Buenos Aires	5	junio de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519470319-Emirates-World.html#REVIEWS
Los asientos cómodos el trato excelente.Puntual a la salida y a la llegada.No se hace largo por la amabilidad de la tripulación , ofreciéndote bebidas y comidas . La cantidad de películas en varios idiomas .	t0rbellin0	Madrid, España	5	mayo de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519469472-Emirates-World.html#REVIEWS
Primera experiencia con esta compañía y con el A380, es verdaderamente un problema, pues una vez probado ya no quieres viajar con nada más. Espacio para las piernas y en anchura magníficos, entretenimiento perfecto, amenites continuas y una comida internacional acorde al posicionamiento de la compañía. Para repetir.	txomin0	El Masnou, España	5	septiembre de 2016	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519466530-Emirates-World.html#REVIEWS
El vuelo en esta aerolínea fue maravilloso, todo muy bien , la atención, comida ,limpieza, la puntualidad.-	veronicagarjon	Provincia de Buenos Aires, Argentina	5	agosto de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519464908-Emirates-World.html#REVIEWS
Tuve la suerte de viajar en Emirates tanto en clase turista como en primera y comparandola con otras aerolineas es sin dudas de las mejores; fundamentalmente por el servicio; las comidas son muy buenas n calidad y cantidad y los asientos de primera clase son excelentes con un buen menu de comidas para elegir; buenos vinos y con asientos muy comodos para descansar; sin dudas recomiendo esta Aerolinea	diego p	buenos aires	4	febrero de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519462081-Emirates-World.html#REVIEWS
Todo lo que se puede esperar de una compañía como Emirates, servicio excelente, asientos cómodos, comida de calidad. No puedo poner nada negativo, repetiré sin duda.	k F	Madrid, Spain	5	agosto de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519461354-Emirates-World.html#REVIEWS
Una de las mejores aerolineas, aviones de última generación, asientos más ámplios y cómodos, innumerables películas en español, menú variado incluso dietas especiales, varias puertas de embarque y desembarque, muy recomendable.	Mariví C	Madrid, Spain	5	julio de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519455480-Emirates-World.html#REVIEWS
estoy complasidisima con esta linea aerea, mucho lujo, las bebidas sin limites, todo el tiempo ofrecen frutas y snacks y cuando se enteraron que estaba de aniversario matrimonial nos hicieron un pequeño pero espectacular festejo que nunca olvidare	ivonorte	Santa Cruz, Bolivia	5	abril de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519454245-Emirates-World.html#REVIEWS
Gracias a una oferta de último momento tuvimos la ocasión de hacer un upgrade a bussines a un precio increíble en una parte de los trayectos y el resto en turista. La atención en todo momento fue como lo era en las compañías aéreas hace veinte años. En turista, tienes espacio para las piernas y eso es muy importante para vuelos tan largos. En uno de los trayectos estrenamos el Airbus 380 y eso ya fue espectacular, lo recomiendo: el primer avión que aparece en Google Street View y con wifi durante el vuelo ;-)	Patxi V	Pamplona, España	4	abril de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519453697-Emirates-World.html#REVIEWS
Servicio atento y amable con gran variedad de recursos para amenizar las más de quince horas de vuelo. Si el servicio es así en turista, me muero de ganas de probar la clase superior. La comida bien (a pesar de ser un avión), con refrigerios de vez en cuando entre las comidas. El sistema de entretenimiento genial, con cientos de películas, música, etc. donde elegir. El avión (un Airbus 380) cómodo, y el servicio del personal de cabina excelente.	Reinaldo G	Castelldefels, España	5	agosto de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519451943-Emirates-World.html#REVIEWS
Volar en al Airbus 380 es una gran experiencia. Comodidad absoluta en el viaje y trato exquisito. La escala en Dubai también es interesante.	962adelar	Castelldefels, España	5	junio de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519451341-Emirates-World.html#REVIEWS
Una gran compañía, aviones fantásticos, tripulación muy atenta y profesional. Entretenimiento muy actual . Fantástico .	susanal30	Mar del Plata, Argentina	5	agosto de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519449632-Emirates-World.html#REVIEWS
a fines de enero unos 300 pasajeros quedamos varados en Rio de Janeiro por 48 hs por desperfectos de la nave, la mayoria eramos turistas por lo que casi todos hemos perdido parte de nuestro tour. Si bien la compañia nos brindo hoteleria y comida por esas 48 hs. no les importo la plata que hemos perdido por culpa de esta compañia. Cuando los pasajeros solicitaron un resarcimiento ofrecieron puntos que solo servian para ir a Rio de Janeiro cuando las perdidas economicas fueron muchisimo mas. Ahora estamos en juicio.	lethebrad	Mar del Plata, Argentina	2	enero de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519444613-Emirates-World.html#REVIEWS
Nuestro tercer vuelo con Emirates, y seguimos encantados con ellos. Su servicio es esplendido, el A380 es una maravilla de confort y espacio, la comida excelente: poco mas se puede pedir.	blynam	Barcelona, España	5	marzo de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519443973-Emirates-World.html#REVIEWS
El vuelo es agradable gracias a la atencion continua y el confort. De todas maneras se hace muy largo por la cantidad de horas de vuelo.	Maria Angeles C	Buenos Aires, Argentina	4	mayo de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519441335-Emirates-World.html#REVIEWS
Era la segunda vez que volamos con Emirates. El trato es muy bueno. Tuvimos un par de incidencias con un asiento y con la comida que fueron resueltas, con un trato muy atento y considerado.	Antonio R	Valencia, España	5	agosto de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519441277-Emirates-World.html#REVIEWS
En un viaje tan largo como es de Montevideo a Pekin, es una muy buena elecciòn. El Airbus a380 es sumamente còmodo, aùn en clase turista. Buen espacio entre asientos, muy buen servicio a bordo con detalles como menù impreso y cubiertos de metal (cuchilos sin filo, por supuesto, por seguridad), hacen que el viaje sea màs placentero.	Rossana T	Río de Janeiro, RJ	5	junio de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519441184-Emirates-World.html#REVIEWS
Este vuelo en clase ejecutiva de Emirates solo podía provocar una sensación... que el trayecto de Buenos Aires es demasiado corto para disfrutar todo el confort y la atención que esta línea aérea ofrece a sus clientes. No me canso de recomendar Emirates, y espero poder disfrutar de nuevas experiencias en vuelos más largos.	JuanAroca	Río de Janeiro, RJ	5	agosto de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519438340-Emirates-World.html#REVIEWS
Tuvimos la oportunidad de volar con esta linea aerea, en Business Class.... ya clase turista, es muy buena y confortable..... pero la Business... es Excelente... y como siempre el personal muy competentes, eficaces, cualificados.... quien aun no ha experimentado esta aerolinea, la recomiendo... este es es segundo año que viajo en asía con Emirates, y el servicio, siempre ha sido optimo... quienes viajan en business Class, tienen la suerte, por así decirle, en un viajo tan largo (mas de seis horas), tener acceso al bar que se encuentra en la parte posterior del aereo y poder pedir cualquier tipo de bebidas alcohólicas y no, a voluntad, así mismo como pequeños aperitivos para poder comer.... yo siempre que puedo y el bolsillo lo permite, me doy ese lujo, de viajar bien y comoda.... RECOMENDADO!	Kattu3	Cantón de Friburgo, Suiza	5	julio de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519436854-Emirates-World.html#REVIEWS
Fantástica compañía, un servicio exquisito, muy buenos asientos con espacio, una tripulación excepcional, servicios a bordo muy buenos,con buena comida y bebidas.	Inaki67	San Sebastián - Donostia, España	5	diciembre de 2016	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519433133-Emirates-World.html#REVIEWS
Viajando en clase turistica, es muy confortable, que es como estar en business Class.... la atención de la tripulación de cabina, muy buena, super simpáticos y amigables.	Kattu3	Cantón de Friburgo, Suiza	5	julio de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519432896-Emirates-World.html#REVIEWS
Mi experiencia con esta compañía comienza desde 2015, y he de decir que ha sido excelente. Incluso como compensación recibí un billete de ida y vuelta a India.	SonyCeuta	Ceuta	5	noviembre de 2016	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519431447-Emirates-World.html#REVIEWS
Viajé de Barcelona a Taipei con escala en Dubai. Destaco la comodidad del asiento y el espacio entre filas de asientos (me pareció mayor que en otras aerolíneas). El servicio y el trato es excelente.	septiembreenkiribati	Isla de Malta, Malta	5	junio de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519429957-Emirates-World.html#REVIEWS
Un lujo!!!! espacio, atención, catering, free shop, Realmente es una aerolinea para elegir sin pensar mucho Altamente recomendable.	igaj2911	Buenos Aires, Argentina	5	enero de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519428990-Emirates-World.html#REVIEWS
El avión está muy bien, el personal de cabina es muy atento, la comida está rica y la oferta audiovisual es excelente. Muy buena experiencia!	Eatgirls	Madrid, España	4	agosto de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519427931-Emirates-World.html#REVIEWS
Segundo año que realizo este vuelo con Emirates y mi valoración vuelve a ser excelente. La experiencia es positiva desde la compra del vuelo. El precio es competitivo, las condiciones de la tarifa Turista Flex son muy buenas y además te aplican el descuento por millas de forma automática. La facturación es rapidísima, con muchos mostradores. Los aviones son modernos, cómodos y con una amplitud muy buena para un vuelo transoceánico. Cada asiento tiene pantalla tactil con una cantidad de entretenimiento e información excepcional. Embarques rápidos, puntualidad en los vuelos y buen servicio de comida. Nada que objetar.	bastians123	Calafell, España	5	julio de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519427745-Emirates-World.html#REVIEWS
El servicio es muy bueno y el personal es muy atento. Si viajan con niños y tienen la precauciòn de pedir menù infantil al reservar el asiento les entregan un menù acorde a los gustos de los niños. aparte les regalan marcadores, una mantita de viaje con forma de animales, etc. La comida en muy especiada, atentos los que son quisquillosos con los condimentos. Muy buen servicio. Lo recomiendo	gracebenvenuto	Buenos Aires, Argentina	5	junio de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519427021-Emirates-World.html#REVIEWS
Excelente servicio pre-venta y post-venta. Experiencia aérea 11 puntos pese a los larguísimos tramos. Un placer	tete2014bsas	Buenos Aires, Argentina	5	junio de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519425574-Emirates-World.html#REVIEWS
Ya había viaja por negocios y mi experiencia fue muy satisfactoria pero con mi familia (tres niños pequeños) aún mejor. La calidad de la comida es impresionante (para ser comida de avión) la atención de la tripulación esta por sobre muchas de las más conocidas líneas aéreas. Con tres pequeños hay que tenernos mucha paciencia... ...más allá de eso parecía que disfrutaban con lo inquietos que son los niños. Ciertamente muy buena calidad humana además del servicio han hecho que el vuelo sea la mejor forma de iniciar un gran viaje en familia. La cita fue exactamente igual de bueno... ...es que mejor no nos pueden haber tratado. El avión (A380) impresionante al igual que la puntualidad. Gran experiencia!	Franz S	Cancun	5	abril de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519424475-Emirates-World.html#REVIEWS
Muy buena en servicio, y concretamente en puntualidad, espacio, limpieza, entretenimiento, ambiente,...	Luis Antonio M	Cancun	5	agosto de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519424127-Emirates-World.html#REVIEWS
Cuando te planteas un viaje de 27 horas con tres niños no te complicas buscando opciones las cuales te van a ahorrar poco dinero. Lo que necesitas es seguridad en puntualidad, atención y servicios. Es la mejor compañia aerea para vuelos de largas distancias, sus aviones muy modernos y con un equipo de auxiliares de vuelo que te atienden maravillosamente. Hemos volado en esta ruta varias veces y no tengo ninguna duda en elegir esta compañia. Tienen una gran variedad de menus y a los niños les obsequian con muchos regalos y atenciones desde que embarcan. Recomendable 100%.	Raqueltaruca	Santander, España	5	diciembre de 2016	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519424108-Emirates-World.html#REVIEWS
Ha sido la primera vez que hemos volado con esta compañía. (2 vuelos ida, Madrid/Dubai, Dubai/Vietnam y vuelta ),Teníamos muchas expectativas que se han quedado en eso, expectativas.Es una aereolinea con mas marketing que servicios,viajamos en turista con reserva de plazas al cojer el vuelo , se limitan a los servicios mínimos zumo comida merienda y cena, si te cuadran los horarios, en nuestro viaje teníamos una escala en DUBAI, de 3 horas al cojer el siguiente vuelo y por el horario, tres de la mañana, no tuvimos opción de comer nada en el aeropuerto, y cuando subimos al avión, no nos ofrecieron ni un vaso de agua , si quieres algo tienes que llamar al timbre y vienen las azafatas , pedimos un zumo, y nos lo trajeron, si pero insistiendo con el timbre,y hasta la hora del desayuno ni vimos a las azafatas,suponemos que si pagas un asiento en primera no te falta nada, pero entiendo que en un viaje de 14 horas y siendo de madrugada podían habernos ofrecido algo, comida correcta, pedimos una cerveza y nos la trajeron caliente, cuando se lo comentamos a la azafata, nos echó UN HIELO AL VASO, me quería morirrrrrrrrrrrrrrrrrrrrrr, detalles así no son de una compañía como ésta, bueno y así muchas cosas mas, está claro si me dan opción con otra aerolinea no me lo pienso A la hora de facturar colas interminables y poco personal en ventanilla, una demora de dos horas	tiasulfata	Haro, España	3	julio de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519421433-Emirates-World.html#REVIEWS
Viajamos en clase turística me ofrecieron esta compañía ya que había una promoción la aceptamos inmediatamente porque tenia referencia de que era muy buena, excelente atención de todo el personal, los asientos muy cómodos están en todos los detalles no quiero imaginarme lo que debe ser viajar en primera.........	soysilviafazio	Lanus, Argentina	5	septiembre de 2016	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519420347-Emirates-World.html#REVIEWS
Excelente servicio atención personalizada,la amabilidad de todos los tripulantes es destaca-ble, muy buen catering.	06Eduardo	Buenos Aires, Argentina	5	agosto de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519416520-Emirates-World.html#REVIEWS
Excelente aerolínea, cero complicaciones, todo muy cómodo; incluso con ellos puedes hacer el trámite de la visa para EAU sin problema. Simplemente excelente !	Higherings	Ciudad de Guatemala, Guatemala	5	septiembre de 2016	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519415584-Emirates-World.html#REVIEWS
hice por primera vez un vuelo largo, destino australia. Nunca había volado con Emirates. La verdad que fue maravilloso. La atención increíble y tema comidas y bebidas muy pero que muy bien. En todo momento estaban atentos por si te faltaba algo. La verdad que volvería a volar con esta compañía sin dudarlo.	Ainoa8	Cornellà de Llobregat, España	5	septiembre de 2016	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519413678-Emirates-World.html#REVIEWS
Buen avión, Airbus 380, 2 pisos. Comida excelente y trato inmejorable. Una compañía muy recomendable. Infinidad de juegos y películas en la pantalla de tu asiento.	Salvador M	Vilanova i la Geltrú, España	5	agosto de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519413527-Emirates-World.html#REVIEWS
Impresionante en todos los sentidos. -Atención de las azafatas excelente. (no sabía que había azafatas hombres, me encantó) -Asientos comodísimos -El servicio de entretenimiento me la pasé viendo películas!! Buenísimas todas! -Techo alto, nada de claustrofobia, excelente visión de las ventanas. Pude disfrutar todo el paisaje, desde nuestra costa argentina hasta que cruzamos todo el Atlántico y pude divisar las costas africanas. Inolvidable.	Bella_Macchina_2012	Bahia Blanca, Argentina	5	junio de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519413180-Emirates-World.html#REVIEWS
Habia escuchado cosas buenas de esta compañia, pero tenia dudas porque nunca viaje con ella. Mi experiencia fue muy buena, en ningun momento tuve problemas y todos los empleados fueron muy amables. Los asientos tienen espacio suficiente para estar comodo, no son tan estrechos como en otras compañias. La comida es (muy) abundante y el servicio de abordo es excelente. Algo destacable es que ofrecen hospedaje gratuito en Dubai, en caso que uno tenga que tomar un vuelo que sale al dia siguiente	turistarjod	Buenos Aires	5	julio de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519412470-Emirates-World.html#REVIEWS
No tengo dudad que es la mejor compañía aérea del mundo, y ya he viajado tanto a Brasil como a Europa por distintas lineas aéreas, en clase turista y en Business, su personal es sumamente calificado, un respeto y atención personalizada de lujo.-	Condei	Adrogue, Argentina	5	marzo de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519411313-Emirates-World.html#REVIEWS
Deberían otras compañías imitarla, dado que la diferencia con respecto a otras aereolíneas es muy notable.	Antonio A	Santa Tecla, La Libertad, El Salvador	5	diciembre de 2016	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519408954-Emirates-World.html#REVIEWS
Es muy placentero viajar en el avión de pasajeros más grande del mundo A-380, espacioso, limpio, nuevo, un excelente servicio, la comida es deliciosa y muy abundante, los asientos son cómodos y espaciosos.	Mauricio B	Santa Tecla, La Libertad, El Salvador	4	marzo de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519405576-Emirates-World.html#REVIEWS
El servicio a bordo es excelente y los aviones se encuentran en perfecto estado, es un placer volar en emirates. Lo único malo es la política de equipaje, sólo una maleta y de poco kilogramos. Mi viaje fue de 3 meses y me toco hacer milagros para no pagar extra que también tienen una tarifa alta.	Mauricio B	Santa Tecla, La Libertad, El Salvador	3	marzo de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519404156-Emirates-World.html#REVIEWS
En verano 2016 tomamos un vuelo BCN-Singapur con escala en Dubai y luego uno desde Phuket hasta Barcelona de nuevo con escala en Dubai y la experiencia en todos los vuelos fue magnífica! Empezando por el proceso de compra desde su web con la posibilidad de elegir asientos sin coste inmediatamente, pasando por la atención en los aeropuertos, en el avión las azafatas muy serviciales, la comida exquisita con un menú muy cuidado y una carta para elegir entre dos menús muy completos, el entretenimiento a bordo con más de 2500 canales para ver y hacer de todo durante el vuelo, buena selección de bebidas incluidas, asientos super cómodos y espaciosos aún en clase turista, el avión moderno y con gran capacidad (2 pisos), pilotos expertos que hacen que no notes ni el despegue ni el aterrizaje... En fin, si de mi dependiese, todos los vuelos los haría con esta compañía.	geomimi	Laguna de Duero, España	5	septiembre de 2016	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519403505-Emirates-World.html#REVIEWS
No es el único viaje que realizamos en esta línea aérea, en este caso, salimos desde Buenos Aires en junio con destino a Zagreb (Croacia) con un stop en Dubai. El servicio de a bordo en términos generales es muy bueno, me refiero a entretenimientos, comidas de calidad, el kit de viaje de regalo es bien completo. No tienen la misma puntuación la atención de las azafatas , las cuales no son amables ni demuestran mucha disposición, son solo correctas. Respecto de los asientos de la clase turista tampoco son ni muy cómodos, ni muy espaciosos, tal como se puede pretender para viajes largos y en una línea aérea que se promociona como diferente. Respecto al personal en tierra, yo tenia un problema de salud, con certificados medicos, el cual requería asientos con espacio, me los dieron solo en un tramo y en el segundo tramo me ubicaron en cualquier lugar, lo cual me produjo mucha incomodidad.	cirseArgentina	argentina	4	junio de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519398813-Emirates-World.html#REVIEWS
Volamos ida y vuelta a Dubai con Emirates. La ida fué en un A380 ¡impresionante! la atención en vuelo muy buena, el avión espectacular. Los dos vuelos puntuales. He volado con otras mucha compañías y la comida ha sido la mejor que me han servido. Siempre que pueda volaré con Emirates.	lauraski2016	Madrid, España	5	julio de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519394316-Emirates-World.html#REVIEWS
Un viaje largo que conto con una atenciòn de primera, muy profesionales, fueron viajes muy tranquilos gracias a Dios, una observacion es poca tripulaciòn habla y entiende el lenguaje castellano. Tuvimos la suerte en el tramo Dubai - Bangkok a la ida de viajar en primera clase, aparentemente por sobreventa en turista, situaciòn resuelta en forma totalmente diferente a otras aerolineas!	omarmolteni11	Provincia de Santa Fe, Argentina	5	julio de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519392105-Emirates-World.html#REVIEWS
Desde que entras en el avión de Emirates la azafata asignada para ti va a estar pendiente en todo momento de que estés cómodo. Te reciben con una copa de champan y un Enjoy madame! Te obsequian con un neceser con las pequeñas cositas que puedes necesitar durante el vuelo.En tu cabina tienes tu tv privada donde seleccionar documentales, cine de estreno... para que tu vuelo sea más agradable. En el avión tenian hasta un bar donde picar o beber a tu gusto. El menú que ofrecen es exquisito. Si tienes ocasión vuela con Emirates vale la pena	Bel S	Distrito Capital Federal, Argentina	5	diciembre de 2016	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519390140-Emirates-World.html#REVIEWS
Inmejorable servicio y trato. El estado de los aviones impecalbe, limpieza y servicio que lo distinguen de las demas aerolineas a un precio sumamente competitivo.	alejandronicolasdiaz	Distrito Capital Federal, Argentina	5	marzo de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519386586-Emirates-World.html#REVIEWS
Viajamos de bs as a Atenas pero hicimos un stop de 4 noches en dubai, la aerolínea impecable ! La mejor que he viajado, muy buena atención !	GuilleNgl	Olavarria, Argentina	5	mayo de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519386258-Emirates-World.html#REVIEWS
La verdad es un verdadero placer viajar con esta compañía. Desde que estas arriba del avión ya estás en modo vacaciones, cada azafata hace lo posible para que así sea. La comida es maravillosa los postres igual y aparte súper variada, si se necesita menu bajo en grasas, en sodio, calorias, vegano, vegetariano, solo frutas y menu por religión y más se pide mínimo 2 días antes por la web de la aerolínea y ellos cumplen, el menú infantil es divino y a los niños les regalan de todo! Uno de los viajes fue mi cumpleaños se puede pedir un pastel de celebración sin cargo (ahora creo que se abona) eso es por teléfono y con tiempo! Ese día del vuelo entregan una mini torta y te sacan una foto con una polaroid y te la dan como un librito firmado por todos, hermoso recuerdo. La limpieza buenísima y entretenimiento a bordo un diez. No alcanza el tiempo!!! Volvería mil veces a viajar por Emirates. el servicio es genial.	victoria1929	Argentina	5	abril de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519384050-Emirates-World.html#REVIEWS
2 horas largas de retraso al despegar por problemas técnicos en el avión. Según se nos dijo los ingenieros de la compañía trabajaron duro para solucionarlo. Sin embargo, despegamos sin recibir ninguna notificación de que estaba todo solucionado (es lo único que se puede reprochar al personal de la compañía). Por lo demás una gran compañía para volar. Asientos espaciosos, consola de entretenimiento para todos los gustos,... Volvería a volar con Emirates, pues problemas técnicos tenemos todos. Si agradecería, algo más de información una vez solventado el problema para tranquilidad de todos los viajeros. Un saludo.	rada_5	Castelldefels, España	2	agosto de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519383692-Emirates-World.html#REVIEWS
Desde que llegas al check in hasta que bajas del avión te atienden con una sonrisa. El embarque es ordenado... El asiento es cómodo y con algo más de espacio que otros aviones. cada asiento posee una tv pantalla plana grande, táctil sin limitaciones de películas y juegos. se esmeran por atender, ofrecen constantemente agua, zumos... La comida esta bien y hay una buena oferta de bebidas.	L10c	Castelldefels, España	5	agosto de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519381522-Emirates-World.html#REVIEWS
Emirates tiene una flota moderna, es muy segura, pero la comida en clase turista deja mucho que desear, particularmente si la comparamos con la de Qantas y la de Singapore Airlines. Pollo, ternera o cordero, todo sabe igual de insipido.	guava66	Perth, Australia	3	enero de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519380967-Emirates-World.html#REVIEWS
Muy buen servicio, asientos muy cómodos, La variedad de entretenimiento a bordo es muy estupenda, con ultimas películas. Si ademas tienes la suerte de volar en el A-380 ya la experiencia se vuelve inolvidable Si vuelas en business tienes el servicio de chófer, te van a buscar en origen y te llevan en la ciudad de destino a tu hotel o domicilio, genial	pvlopez	Madrid, España	5	agosto de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519379911-Emirates-World.html#REVIEWS
es impresionante volar en un A380. Además, el servicio excelente hace que el vuelo sea una experiencia única	JavierL2326	Madrid, España	5	julio de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519379633-Emirates-World.html#REVIEWS
Hay que aprovechar todos los servicios, gente amable y amena, Francisco el Sobrecargo en el Bar Area, genial, una atención inmejorable,	Ernesto C	Buenos Aires, Argentina	4	agosto de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519379481-Emirates-World.html#REVIEWS
Vuelo excelente, comodidad en el avión, atención de los tripulantes de cabina. Nada negativo, muy buen nivel.	Vik070	Buenos Aires, Argentina	5	abril de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519378335-Emirates-World.html#REVIEWS
De acuerdo al prestigio de la aerolinea y a su publicidad, espera un servicio excelente. Indudablemente, eso es privativo para las categorias superiores.	GuillermoV769	Barcelona, España	3	marzo de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519378103-Emirates-World.html#REVIEWS
He tomado varios vuelos este año con Emirates y debo decir que, dentro de la excelencia de esta compañía, empiezo a notar un cierto tedio y trato poco amable por parte de los tripulantes de cabina. Por supuesto, hablo de la clase Turista.	Pere B	Barcelona, España	4	mayo de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519375278-Emirates-World.html#REVIEWS
Fue genial tod el vuelo, super tranquilos, nos daban de comer y de beber cada poco. las televisiones eran individuales y funcionaban perfectamente. Nos ofrecieron mantas y hasta calcetines y por supuesto nos dieron un neceser. La verdad es que fué un gustazo.	CarmenAgra	Málaga, España	5	septiembre de 2016	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519374204-Emirates-World.html#REVIEWS
Excelente, salen siempre a horario, el servicio a bordo es muy bueno desde las azafatas la limpieza y hasta la comida .	Silvanabeatriz	Pilar, Argentina	5	julio de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519373665-Emirates-World.html#REVIEWS
Excelente el servicio y calidad de todo lo que provee. Fotos que te toman los tripulantes y te las dan en el acto, es todo un detalle para tener un recuerdo de la buena experiencia vivida. La verdad todo es que durante el viaje el servicio sorprende y satisface. Sobre todo considerando la cantidad de horas que dura el viaje. Un 10!	CCLopezF	Buenos Aires, Argentina	5	septiembre de 2016	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519370443-Emirates-World.html#REVIEWS
Muy buen servicio, la verdad que es la mejor aerolinea por la que he volado, las otras parecen low cost comparada con esta. Muy buena comida y bien atendido por el personal de abordo que pareciera haber mas cantidad que el promedio de una aerolinea estandar. A mejorar... el check in en rio abre 2.30 hs antes de la salida del vuelo por lo que si sumamos esta cola mas migraciones mas el tamaño del aeropuero uno llega casi justo al gate de partida	SantiagoMattei	Tandil, Argentina	5	julio de 2017	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r519370244-Emirates-World.html#REVIEWS
